g1	g0	g2	g3	g6	g4	g9	g5	g7	g8	g12	g11	g14	g13	g15	g10	g19	g18	g17	g16	g20
Gelse-mpi.v2.1-MPIG000550	0.188386518305821	0.139536829542405	0.142944463525851	0.158094751775729	0.1902834424374	0.26186317904691	0.257174703867945	0.154844576153354	0.0814970861330359	0.17580668611404	0.0504037342473817	0.150076824406953	0.357788235240651	0.0723276389972141	0.337317396129418	0.0617890784098382	0	0.101054194833878	0.0776546468371515	0.0759141519844507	0
Gelse-mpi.v2.1-MPIG000560	0.203044383276098	0.218477027665045	0.224446719333425	0.200422615039968	0.152915581538572	0.245810402599884	0.196181673782656	0.213497007866562	0.106923162434168	0.203726706049727	0.196455709475178	0.0748059427199155	0.253054279636894	0.324483176307835	0	0.0745459266221394	0.434862940127354	0.261006289472714	0.0822236646818429	0.138497206206481	0.282398282012131
Gelse-mpi.v2.1-MPIG000570	0.56414113167827	0.726571304403546	0.571960341881413	0.560503137001377	0.508188422498422	0.7333115173216	0.531530749074702	0.607506657015912	0.5614864937162	0.521157251874769	0.636111226251249	1.02085082254111	0.67536383576585	0.797064914907584	0.20761844404972	0.906058304149304	1.02767904734678	0.631827798728886	0.361942592238706	0.46646104841606	0.658055454283742
Gelse-mpi.v2.1-MPIG000580	0.457482996942375	0.529098250926924	0.559389257229377	0.523961254431854	0.586506347479406	0.430277201471061	0.519939518380606	0.599740917519912	0.54329301204427	0.526633965410404	0.305623818287599	0.971352296844018	0.653565490966843	0.206547913576373	0.524955036256843	0.678014471424038	0.711502853970443	0.491165762642614	0.124750392718319	0.561589794463689	0.348282186206288
Gelse-mpi.v2.1-MPIG000590	0.167677204481682	0.247043272319695	0.217256377265506	0.155178114310912	0.109398001550592	0.24690985649437	0.239910193924406	0.261565238214856	0.195194253885308	0.114781333303316	0.14083426999788	0.233861541155957	0.158287584813226	0.0681443926306165	0.396543014407717	0.10551356192313	0	0	0.366917204524566	0.109264583007801	0
Gelse-mpi.v2.1-MPIG000600	1.04897900028549	1.30668923686295	1.13643440370565	1.01221160900594	0.831351026166781	0.720737685930321	0.785624251120949	0.934780660366666	1.17199718830596	1.34166583997512	0.783984487592902	1.96297613410078	0.681448273018531	0.978702384246182	1.37586413111917	2.02630043223366	1.65275011287357	0.830042482394869	0.838031699282186	0.894883648702232	0.823588556467604
Gelse-mpi.v2.1-MPIG000610	0.526972550397118	0.632527482883849	0.55775380001798	0.612204359884195	0.643804613894141	0.626162626842663	0.586058551575618	0.546423762556535	0.65481268450019	0.540625320609535	0.272060738225853	1.22091377346209	0.520567684863714	0.43826618274893	0.876359343534997	2.69361097089188	0.537434411814466	0.226858034373485	0.587588152385811	0.730384791904208	0.460153465278726
Gelse-mpi.v2.1-MPIG000620	0.179241495258225	0.230401556263838	0.174571475521674	0.194946295538011	0.0973050318467459	0.171878249897443	0.218399707423397	0.190630539491066	0.172488336570493	0.243906708487411	0.194337016141138	0.453534546962323	0.172657328263417	0.192948858982869	0.465894498687923	0.686558687443628	0.557545106539334	0	0.141311069376416	0.361648506019758	0.627895014305147
Gelse-mpi.v2.1-MPIG000630	0.0754820140122442	0.163680387656037	0.183791964334044	0.0716902727272159	0.0347944387654854	0.0982172397760352	0.056483349245368	0.0396144117728776	0.0452744455325251	0.0576052421077779	0	0.325278667230004	0.0715807549439733	0	0	0.456819702139479	0	0.138295772429184	0	0.420855768291124	0.297669477263381
Gelse-mpi.v2.1-MPIG000640	0.0125358909852989	0.0879849070399407	0.141146493162348	0.0183306036855353	0.00994272281340121	0.134429204973297	0.13167506179379	0.0446059094985658	0.0276376516334224	0	0.032279191648914	0.226274163240902	0.979996149975133	0.0653114208591075	0	2.73545025225071	0	0	0	0	0
Gelse-mpi.v2.1-MPIG000650	0	0.0759834825564899	0.0400639192334349	0.0167904681611181	0.0282548851285097	0	0	0	0	0	0	0	0	0	0	0.0267082786372893	0	0	0	0	0
Gelse-mpi.v2.1-MPIG000660	0.175768592844836	0.748539943886049	0.435612623778526	0.528554003663844	0.44169847883451	0.314528470947264	0.754107835830351	0.853982789640963	0.160439111674658	0.45692630623081	1.71467627005063	0.092951045209536	0.247122166848616	0.753566663096456	0.232966099057147	0.156873116038655	0	0	0.704914415880787	0	0.620795652479239
